,Classifier OUTC,MCC: OUTC,Corr: OUTC,p-v: OUTC,Index: OUTC,Classifier RT_P,MCC: RT_P,Corr: RT_P,p-v: RT_P,Index: RT_P,Classifier Dece,MCC: Dece,Corr: Dece,p-v: Dece,Index: Dece,Representation
4,Random Forest_09,0.3339329487547212,0.3339329487547212,4.4701186611814317e-07,59.0,Logistic_04,0.08181795630342895,0.08181795630342892,0.23220537594064256,121.0,Naive Bayes_04,0.4070045235482274,0.40700452354822736,6.540384342573441e-11,116.0,6
5,Naive Bayes_04,0.3336090423682066,0.3336090423682065,4.5932899836316785e-07,116.0,Ridge_01,0.08181795630342895,0.08181795630342892,0.23220537594064256,127.0,Nearest Neighbors_01,0.4019336465897523,0.4019336465897523,1.1806712351179682e-10,0.0,6
6,AdaBoost_06,0.31506983578910536,0.31506983578910536,2.068070766726621e-06,100.0,Gaussian Process_01,0.05924860824515867,0.059248608245158665,0.3873405307588683,38.0,Neural Net_10,0.4019336465897523,0.4019336465897523,1.1806712351179682e-10,80.0,6
7,SVM_24,0.3108553109900978,0.3108553109900978,2.8715850901863363e-06,31.0,Decision Tree_06,0.0503489329337718,0.0503489329337718,0.4626912774025986,48.0,SVM_03,0.3875619664232189,0.3875619664232188,5.970654125136117e-10,10.0,6
8,Ridge_06,0.3082467623790301,0.3082467623790301,3.509654195993738e-06,132.0,Gradient_37,0.0503489329337718,0.0503489329337718,0.4626912774025986,173.0,AdaBoost_07,0.3781774042112564,0.3781774042112563,1.6506543814682129e-09,101.0,6
9,Logistic_02,0.30749000475915794,0.3074900047591579,3.718687298743348e-06,119.0,Nearest Neighbors_01,-0.023559593899712083,-0.023559593899712083,0.731233388980578,0.0,Gradient_33,0.3246636886831602,0.3246636886831601,3.027719492401346e-07,169.0,6
10,QDA_01,0.3055984555984556,0.30559845559845555,4.294248120551487e-06,117.0,QDA_01,-0.023559593899712083,-0.023559593899712083,0.731233388980578,117.0,Bagging_02,0.30434129083777073,0.3043412908377707,1.7149192663789563e-06,134.0,6
11,Bagging_04,0.2935504475684128,0.2935504475684129,1.0491971345391856e-05,136.0,Bagging_02,-0.03347583141550703,-0.03347583141550702,0.6254595808614727,134.0,Random_Forest_10,0.2666939600327258,0.2666939600327258,3.0669259500249794e-05,60.0,6
12,Decision Tree_06,0.2845559845559846,0.2845559845559846,1.992018727860087e-05,48.0,Random Forest_01,-0.05081948370885378,-0.050819483708853766,0.4585145277518273,51.0,Random Forest_11,0.2239867171264156,0.22398671712641555,0.0004983399427842128,61.0,6
13,Gaussian Process_04,0.27963950837752355,0.2796395083775236,2.802287459468113e-05,41.0,Random_Forest,,,,,Gaussian Process_03,0.20268574661727026,0.20268574661727026,0.001671636655693921,40.0,6
0,Nearest Neighbors_08,0.27565892320998564,0.27565892320998564,0.006559932379866095,7.0,AdaBoost_07,0.7662224051759048,0.7662224051759049,9.367173437763957e-20,101.0,Decision Tree_02,0.3418763908060657,0.34187639080606563,0.0004086320772482471,44.0,7
1,SVM_18,0.27565892320998564,0.27565892320998564,0.006559932379866095,25.0,Nearest Neighbors_01,0.6222813210704556,0.6222813210704558,1.3067449737366677e-11,0.0,Random Forest_01,0.2991696842159569,0.2991696842159569,0.0021418984187261897,51.0,7
2,Gradient_07,0.2249143529555496,0.2249143529555496,0.02758460649323329,143.0,Decision Tree_06,0.4381871654989361,0.4381871654989361,8.005016542693141e-06,48.0,Gradient_15,0.2991696842159569,0.2991696842159569,0.0021418984187261897,151.0,7
3,Neural Net_21,0.2097190516789853,0.20971905167898533,0.04028963593218854,91.0,Random Forest_01,0.4381871654989361,0.4381871654989361,8.005016542693141e-06,51.0,AdaBoost_06,0.1912586710512573,0.19125867105125724,0.05295599705830836,100.0,7
4,Decision Tree_07,0.202749709415348,0.202749709415348,0.047575771690726285,49.0,Random_Forest_06,0.4376973239219325,0.4376973239219325,8.215609818865501e-06,56.0,Neural Net_16,0.18606321839080456,0.18606321839080456,0.05986900560239435,86.0,7
5,Random_Forest_08,0.1946020135466108,0.1946020135466108,0.057442051182107136,58.0,Naive Bayes_01,0.4203381797788984,0.4203381797788985,2.010125978609416e-05,113.0,Bagging_03,0.1759754810576017,0.17597548105760166,0.07539349981605907,135.0,7
6,Random Forest_01,0.18782402666365847,0.18782402666365852,0.06687236607113252,51.0,Logistic_04,0.4203381797788984,0.4203381797788985,2.010125978609416e-05,121.0,SVM_03,0.17033855927168556,0.17033855927168556,0.08538785526567037,10.0,7
7,QDA_01,0.16286901420919106,0.1628690142091911,0.11285597670651963,117.0,Ridge_01,0.4203381797788984,0.4203381797788985,2.010125978609416e-05,127.0,Naive Bayes_01,0.05713298175195707,0.057132981751957065,0.5664899767005789,113.0,7
8,Bagging_03,0.1311450235388945,0.13114502353889454,0.2027945695978852,135.0,SVM_14,0.2948831320962695,0.29488313209626943,0.003539227595006654,21.0,Logistic_01,0.014389773620687418,0.014389773620687418,0.8852908997758574,118.0,7
9,Ridge_04,0.09923721235559482,0.09923721235559484,0.3360685185006697,130.0,Gaussian Process_03,0.2273407136236201,0.2273407136236201,0.025910527514569928,40.0,Nearest Neighbors_05,0.0077770865119205015,0.0077770865119205015,0.9378545321894408,4.0,7
10,AdaBoost_01,0.06702010408944073,0.06702010408944073,0.5164751929383833,95.0,Gradient_08,0.1857308236232342,0.1857308236232342,0.0700259012365387,144.0,Ridge_01,0.0077770865119205015,0.0077770865119205015,0.9378545321894408,127.0,7
11,Gaussian Process_01,0.053360830069668616,0.05336083006966863,0.6056123891377599,38.0,Neural Net_02,-0.02404930351219409,-0.02404930351219409,0.8160867631336801,72.0,QDA_01,-0.02430600567093946,-0.024306005670939452,0.8074596980115354,117.0,7
12,Naive Bayes_03,0.04987933706181392,0.04987933706181393,0.6293695890933997,115.0,Bagging_02,-0.02404930351219409,-0.02404930351219409,0.8160867631336801,134.0,Random_Forest_08,-0.042461983686565466,-0.042461983686565466,0.6701989892511224,58.0,7
13,Logistic_09,0.045428480571701145,0.04542848057170115,0.6602973001847824,126.0,QDA_01,-0.034191281377497565,-0.034191281377497565,0.7408612112856701,117.0,Gaussian Process_01,-0.05618863985220802,-0.056188639852208004,0.5729320560577202,38.0,7
